,Product Type,Product Name,Price,List,Year,Skin Type
0,FACIAL CLEANSER,Garnier SkinActive Soothing Rose Water Cleansing Milk,$9,Skincare,2018,Normal Skin
1,FACIAL CLEANSER,Tatcha The Deep Cleanse,$38,Skincare,2018,Oily Skin
2,FACIAL CLEANSER,L’Occitane Shea 3-in-1 Cleansing Water,$24,Skincare,2018,Dry Skin
3,FACIAL CLEANSER,Burt’s Bees Micellar Cleansing Towelettes,$6,Skincare,2018,Cleansing Wipes
4,TONER / ESSENCE,Lumene Valo Glow Lumenessence Brightening Beauty Lotion,$15,Skincare,2018,
5,FACIAL MIST,"Mario Badescu Facial Spray with Aloe, Chamomile and Lavender",$12,Skincare,2018,
6,FACIAL OIL,Honest Beauty Magic Organic Beauty Facial Oil,$28,Skincare,2018,
7,FACIAL SERUM,Clinique Fresh Pressed Daily Booster with Pure Vitamin C 10%,$77,Skincare,2018,Antioxidant
8,FACIAL SERUM,Korres Wild Rose Spotless Serum 15% Vitamin C,$75,Skincare,2018,Antioxidant
9,FACIAL SERUM,Caudalie Vinopure Skin Perfecting Serum,$49,Skincare,2018,Clarifying
10,FACIAL SERUM,Dr. Jart+ Cicapair Tiger Grass Re.Pair Serum,$46,Skincare,2018,Calming
11,FACIAL SERUM,Neutrogena Rapid Wrinkle Repair Serum,$22,Skincare,2018,Retinol
12,FACIAL SERUM,Paula’s Choice Resist Omega+ Complex Serum,$36,Skincare,2018,Hydrating
13,FACIAL MOISTURIZER,Olay Luminous Whip,$30,Skincare,2018,Normal Skin
14,FACIAL MOISTURIZER,Ole Henriksen Counter Balance Oil Control Hydrator,$55,Skincare,2018,Oily Skin
15,FACIAL MOISTURIZER,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator,$19,Skincare,2018,Dry Skin
16,EYE CREAM,StriVectin Multi-Action R&R Eye Cream,$65,Skincare,2018,Line-Smoothing
17,EYE CREAM,RoC Retinol Correxion Sensitive Eye Cream,$23,Skincare,2018,Line-Smoothing
18,EYE CREAM,Dr. Brandt Needles No More No More Baggage,$42,Skincare,2018,Depuffing
19,EYE CREAM,Rodan + Fields Enhancements Active Hydration Bright Eye Complex,$70,Skincare,2018,Moisturizing
20,EYE CREAM,Laneige Eye Sleeping Mask,$34,Skincare,2018,Moisturizing
21,FACIAL SCRUB,Shiseido Waso Soft + Cushy Polisher,$32,Skincare,2018,
22,MASK,Neutrogena Deep Clean Purifying Clay Cleanser and Mask,$9,Skincare,2018,Oily Skin
23,MASK,Dior Hydra Life Glow Better Fresh Jelly Mask,$69,Skincare,2018,Dull Skin
24,MASK,Kiehl’s Calendula & Aloe Soothing Hydration Masque,$45,Skincare,2018,Dry Skin
25,MASK,Patchology Flashpatch Restoring Night Eye Gels,$60,Skincare,2018,Eye Area
26,MASK,Simple Skincare De-Stress Sheet Mask,$3,Skincare,2018,Sheet
27,MASK,Aveeno Positively Radiant Overnight Hydrating Facial,$14,Skincare,2018,Overnight
28,FACIAL SUNSCREEN,Supergoop Unseen Sunscreen Broad Spectrum SPF 40,$32,Skincare,2018,
29,FACIAL SUNSCREEN,EltaMD UV Clear Broad-Spectrum SPF 46,$33,Skincare,2018,
30,PEEL,Peter Thomas Roth 20% Glycolic Solutions Jumbo Peel Swab,$48,Skincare,2018,
31,ACNE,Clean & Clear Persa-Gel 10,$5,Skincare,2018,Allover Treatment
32,ACNE,Murad Rapid Relief Acne Spot Treatment,$22,Skincare,2018,Spot Treatment
